New_Korean_WB_6s_1_1_1_1.wav,4.14,4.20782
New_Korean_WB_6s_1_1_2_1.wav,4.15,4.19637
New_Korean_WB_6s_1_1_3_1.wav,4.12,4.18841
New_Korean_WB_6s_1_1_4_1.wav,4.1,4.20622
New_Korean_WB_6s_1_2_1_1.wav,4.13,4.20968
New_Korean_WB_6s_1_2_2_1.wav,4.11,4.19462
New_Korean_WB_6s_1_2_3_1.wav,4.11,4.2082
New_Korean_WB_6s_1_2_4_1.wav,4.13,4.19955
New_Korean_WB_6s_1_3_1_1.wav,4.04,4.21331
New_Korean_WB_6s_1_3_2_1.wav,4.12,4.18962
New_Korean_WB_6s_1_3_3_1.wav,4.07,4.19196
New_Korean_WB_6s_1_3_4_1.wav,4.12,4.21942
